Id,coreness,group
0,1.0,0
1,1.0,1
2,1.0,2
3,2.0,3
4,2.0,4
5,2.0,5
6,2.0,6
7,3.0,7
8,3.0,8
9,3.0,9
10,3.0,6
11,3.0,5
12,3.0,10
13,4.0,11
14,4.0,12
15,3.0,13
16,3.0,10
17,1.0,11
18,4.0,11
19,3.0,14
20,4.0,1
21,3.0,15
22,4.0,12
23,2.0,10
24,3.0,6
25,4.0,2
26,3.0,11
27,4.0,2
28,3.0,5
29,4.0,0
30,3.0,4
31,4.0,2
32,4.0,1
33,3.0,6
34,3.0,16
35,1.0,17
36,3.0,10
37,3.0,7
38,4.0,2
39,3.0,14
40,3.0,10
41,1.0,11
42,4.0,5
43,3.0,4
44,3.0,10
45,1.0,12
46,3.0,3
47,3.0,18
48,3.0,3
49,1.0,2
50,1.0,19
51,3.0,4
52,4.0,4
53,4.0,1
54,3.0,20
55,3.0,21
56,4.0,2
57,3.0,22
58,4.0,13
59,3.0,9
60,4.0,2
61,3.0,0
62,4.0,2
63,3.0,5
64,4.0,0
65,3.0,2
66,4.0,1
67,3.0,23
68,3.0,4
69,4.0,17
70,3.0,2
71,3.0,8
72,4.0,6
73,3.0,23
74,3.0,5
75,4.0,5
76,4.0,0
77,4.0,2
78,3.0,4
79,3.0,24
80,4.0,17
81,3.0,2
82,3.0,4
83,4.0,2
84,3.0,25
85,4.0,12
86,4.0,2
87,4.0,19
88,3.0,4
89,4.0,11
90,4.0,2
91,3.0,2
92,3.0,26
93,4.0,10
94,3.0,5
95,3.0,1
96,3.0,27
97,3.0,28
98,4.0,17
99,3.0,2
100,3.0,13
101,3.0,15
102,3.0,10
103,4.0,12
104,4.0,17
105,3.0,24
106,3.0,13
107,4.0,11
108,3.0,5
109,3.0,6
110,3.0,7
111,3.0,10
112,4.0,2
113,4.0,17
114,3.0,6
115,4.0,1
116,3.0,10
117,3.0,5
118,4.0,0
119,3.0,4
120,3.0,4
121,3.0,0
122,4.0,1
123,3.0,1
124,4.0,5
125,3.0,5
126,3.0,3
127,4.0,6
128,3.0,14
129,3.0,29
130,3.0,21
131,3.0,22
132,3.0,30
133,3.0,26
134,4.0,2
135,3.0,5
136,4.0,11
137,4.0,17
138,3.0,20
139,4.0,2
140,3.0,31
141,4.0,1
142,3.0,1
143,4.0,2
144,4.0,4
145,3.0,30
146,4.0,10
147,3.0,2
148,3.0,32
149,4.0,0
150,4.0,2
151,4.0,2
152,3.0,3
153,4.0,1
154,4.0,1
155,3.0,21
156,4.0,11
157,3.0,4
158,4.0,0
159,4.0,19
160,3.0,4
161,4.0,13
162,4.0,0
163,3.0,1
164,4.0,1
165,3.0,10
166,3.0,12
167,3.0,1
168,4.0,12
169,4.0,2
170,4.0,1
171,4.0,1
172,4.0,0
173,4.0,31
174,3.0,2
175,4.0,1
176,4.0,6
177,3.0,1
178,4.0,19
179,3.0,30
180,3.0,2
181,4.0,0
182,3.0,5
183,4.0,6
184,4.0,32
185,3.0,3
186,3.0,33
187,3.0,6
188,3.0,4
189,3.0,7
190,4.0,12
191,4.0,33
192,3.0,10
193,3.0,12
194,3.0,3
195,4.0,12
196,4.0,2
197,4.0,19
198,3.0,1
199,3.0,2
